"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"energia_agua_refrigerada_3";-0,0208212692281392;0,00671634887837194;0,0224951738115168;0,0422516611432985;0,0106007687424353;0,0277995726011325;0,0240046688771971;0,0248154183018594
"ocupantes_conteo_robus3_3";-0,0269231655241288;-0,0334007686646596;-0,0332153461297859;-0,0168556989930189;NA;NA;NA;NA
"temperatura_interior_4";-0,0173772111597876;-0,0205265511761588;-0,0213805972978455;-0,0120105376586476;-0,0102438157854739;-0,00825480735951633;-0,009906118017045;-0,0075079216064152
"temperatura_exterior_4";-0,0227793379471571;0,00302156602752569;-0,0289695704463529;NA;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,000586859107986514;-0,000457286448727356;-0,000303350546918139;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0202622434289234;0,018379566783783;0,019495866081791;0,01749757277952;0,0380789455601999;0,0359076586552148;0,0356950577369489;0,0339878923028048
"ocupantes_conteo_robus3_4";0,0112840929395678;0,0172803806271396;0,0163966495879148;NA;NA;NA;NA;NA
"temperatura_interior_5";0,0760772876380403;0,0841482151400535;0,0846022016958694;0,0812320536644914;0,0771515697543462;0,0697572215814262;0,0712649130345006;0,03120165573522
"temperatura_exterior_5";0,0122210980131986;-0,0228539779003273;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";0,000621310545356901;5,81644455295804e-05;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,242948094937852;0,244064251862525;0,236386581205217;0,21424315971839;0,213482881781862;0,205487715785664;0,206969482432705;0,206774261400061
"ocupantes_conteo_robus3_5";0,0107456255896474;-0,000587662324270004;NA;NA;NA;NA;NA;NA
"temperatura_interior_6";0,125359084123045;0,111049202460179;0,107526445690848;0,114261702912115;0,111105538581204;0,112056162044212;0,110919766088311;0,160484745091882
"temperatura_exterior_6";-0,0207413745557979;NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,00050046922123346;NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,293743282043936;-0,339414877443783;-0,343583701095036;-0,345321481895928;-0,350997133692632;-0,350817814441084;-0,349066598471738;-0,346830301160605
"ocupantes_conteo_robus3_6";-0,0114002230083305;NA;NA;NA;NA;NA;NA;NA
"R2";0,999942445137177;0,999941853930045;0,999941712853564;0,999941124888855;0,999940841476453;0,999940603209915;0,999940465801045;0,999940057093036
"MAE";0,142635729771738;0,143237567697362;0,143324886487178;0,143122207491076;0,143074555573841;0,14198417803401;0,142081989005051;0,142809568449212
"Media residuales";0,000167280046766346;0,00018784644429166;0,000196086034130249;0,000214572635535946;0,000213464221008143;0,000214696891983351;0,000208219388939368;0,000231000474854756
"Desviación típica residuales";0,207379929910095;0,208442301558866;0,208695006789505;0,209744941532728;0,210249171124512;0,210672144033384;0,210915695086295;0,211638412085579
"Número de variables";34;31;28;25;22;19;17;16
